,"score","names_wiki","dates_wiki","names_googleart","dates_googleart","is_same","artist_id_wiki","artist_id_googleart","Unnamed: 9",,
87,100,"[arthur streeton, sir arthur ernest streeton, streeton, a., streeton, arthur, streeton, arthur ernest]","[1867, 1943]","[arthur streeton, streeton, a., streeton, arthur, streeton, arthur ernest]","[1867, 1943]",1,"wiki_arthur-streeton","googleart_m040cvx",,,
88,100,"[ai ō, ai-ō, ay-o, ay-o (靉嘔); takao iijima, iijima, iijima takao, takao, takao, iijima]","[1931, 2099]","[ai weiwei]","[1957, 2099]",0,"wiki_ay-o","googleart_m0278dyq",,,
89,78,"[carlo maria mariani]","[1931, 2099]","[emy mariani]","[2001.0, 2011.0]",0,"wiki_carlo-maria-mariani","googleart_t218rckf0qb",,,
90,76,"[charles despiau]","[1874, 1946]","[charles demuth]","[1883, 1935]",0,"wiki_charles-despiau","googleart_m01w2q8",,,
91,100,"[charles-francois daubigny, charles-françois daubigny, d'aubigny, charles françois, daubigny, charles, daubigny, charles françois, daubigny, charles-françois]","[1817, 1878]","[charles-françois daubigny, d'aubigny, charles françois, daubigny, charles, daubigny, charles françois, daubigny, charles-françois]","[1817, 1878]",1,"wiki_charles-francois-daubigny","googleart_m0kzxl",,,
92,76,"[charles hermans, hermans, c., hermans, charles]","[1839, 1924]","[charles maurin]","[1856, 1914]",0,"wiki_charles-hermans","googleart_m027dgqb",,,
93,100,"[charles m. russell, charles marion, russell, charles m., russell, charles marion]","[1863, 1926]","[charles marion russell, russell, charles m., russell, charles marion]","[1863, 1926]",1,"wiki_charles-m-russell","googleart_m01y0c5",,,
94,100,"[ch'ên hung-shou, chen hongshou, chen, hongshou, fuzhi, huichi, huiseng, laochi, laolian, wuchi, yuanmen seng, zhanghou, 陳洪綬]","[1599, 1652]","[ch'ên hung-shou, chen hongshou, chen, hongshou, fuzhi, huichi, huiseng, laochi, laolian, wuchi, yuanmen seng, zhanghou]","[1599, 1652]",1,"wiki_chen-hongshou","googleart_m026zmgl",,,
95,81,"[christian eckart]","[1959, 2099]","[christian cortes]","[2006.0, 2007.0]",0,"wiki_christian-eckart","googleart_t218rckdgqs",,,
96,78,"[constantin brancusi, constantin brâncuși]","[1876, 1957]","[konstantinos parthenis, parthenis, c., parthenis, c. p., parthenis, constantin, parthenis, konstantinos, parthenis, kostas, parthénis, constantin]","[1878, 1967]",0,"wiki_constantin-brancusi","googleart_m0dgv_1",,,
97,78,"[konstantinos maleas, μαλέας κωνσταντίνος]","[1879, 1928]","[konstantinos parthenis, parthenis, c., parthenis, c. p., parthenis, constantin, parthenis, konstantinos, parthenis, kostas, parthénis, constantin]","[1878, 1967]",0,"wiki_constantine-maleas","googleart_m0dgv_1",,,
98,100,"[currier and ives, nathaniel currier  and james merritt ives]","[1776.0, 1907.0]","[currier & ives, currier and ives, currier, nathaniel, currier, nathaniel t., nathaniel currier]","[1813, 1888]",1,"wiki_currier-and-ives","googleart_m037fkx",,,
99,100,"[cavalcanti de albuquerque e mello, emiliano augusto, cavalcanti de albuquerque e melo, emiliano augusto, cavalcanti, emiliano de albuquerque e mello di, cavalcanti, emiliano di, cavalcanto, emilio di, di cavalcanti, emiliano, emiliano augusto cavalcanti de albuquerque melo, emiliano di cavalcanti]","[1897, 1976]","[cavalcanti de albuquerque e mello, emiliano augusto, cavalcanti de albuquerque e melo, emiliano augusto, cavalcanti, emiliano de albuquerque e mello di, cavalcanti, emiliano di, cavalcanto, emilio di, di cavalcanti, emiliano, emiliano di cavalcanti]","[1897, 1976]",1,"wiki_emiliano-di-cavalcanti","googleart_m08zflt",,,
100,100,"[carr, emily, carr, m. emily, emily carr]","[1871, 1945]","[carr, emily, carr, m. emily, emily carr]","[1871, 1945]",1,"wiki_emily-carr","googleart_m01qjpm",,,
101,100,"[ernesto neto, ernesto saboia de albuquerque neto]","[1964, 2099]","[ernesto neto]","[1964, 2099]",1,"wiki_ernesto-neto","googleart_m02wyk5s",,,
102,79,"[francis bott]","[1904, 1998]","[botong francisco]","[1912, 1969]",0,"wiki_francis-bott","googleart_m07gtt9",,,
103,100,"[bayeu y subias, d. francisco, bayeu y subias, francisco, bayeu y subías, francisco, bayeu, francisco, francisco bayeu y subias, francisco bayeu y subías]","[1734, 1795]","[bayeu y subias, d. francisco, bayeu y subias, francisco, bayeu y subías, francisco, bayeu, francisco, francisco bayeu y subías]","[1734, 1795]",1,"wiki_francisco-bayeu-y-subias","googleart_m08w6kw",,,
104,100,"[francisco goya, francisco josé de goya y lucientes, goya y lucientes, francesco josé de, goya y lucientes, francisco, goya y lucientes, francisco josé de, goya, francisco de, goya, francisco-josé]","[1746, 1828]","[francisco goya, goya y lucientes, francesco josé de, goya y lucientes, francisco, goya y lucientes, francisco josé de, goya, francisco de, goya, francisco-josé]","[1746, 1828]",1,"wiki_francisco-goya","googleart_m02y23",,,
105,100,"[frederic leighton, frederic leighton, 1st baron leighton, leighton of stretton, frederic, leighton, ? (lord), leighton, f., leighton, frederic, leighton, frederic (stretton, lord), leighton, frederick, leighton, frederick (baronet), leighton, frederick (lord), leigton, fréderick (lord)]","[1830, 1896]","[frederic leighton, leighton of stretton, frederic, leighton, ? (lord), leighton, f., leighton, frederic, leighton, frederic (stretton, lord), leighton, frederick, leighton, frederick (baronet), leighton, frederick (lord), leigton, fréderick (lord)]","[1830, 1896]",1,"wiki_frederic-leighton","googleart_m01ww84",,,
106,100,"[george frederic watts, george frederick watts, george, f. w., watts, g. f., watts, george frederic, watts, george frederick]","[1817, 1904]","[george frederic watts, george, f. w., watts, g. f., watts, george frederic, watts, george frederick]","[1817, 1904]",1,"wiki_george-frederick-watts","googleart_m03dhsw",,,
107,100,"[george washington lambert, george washington thomas lambert, lambert, g. w., lambert, george, lambert, george washington, lambert, george washington thomas]","[1873, 1930]","[george washington lambert, lambert, g. w., lambert, george, lambert, george washington, lambert, george washington thomas]","[1873, 1930]",1,"wiki_george-washington-lambert","googleart_m07hdbx",,,
108,100,"[georgia o'keeffe, georgia totto o'keeffe, o'keefe, georgia, o'keeffe, georgia, o'keeffe, georgia totto, stieglitz, alfred (mistress), stieglitz, georgia]","[1887, 1986]","[georgia o'keeffe, o'keefe, georgia, o'keeffe, georgia, o'keeffe, georgia totto, stieglitz, alfred (mistress), stieglitz, georgia]","[1887, 1986]",1,"wiki_georgia-o-keeffe","googleart_m01t807",,,
109,76,"[huang niu, huang yongyu, huang yung-yü, huang, xingbin, huang, xingbing, huang, yongyu, niu fuzi, niu, fuzhi, tu, jiazu, zhang guanbao, 黃永玉]","[1924, 2099]","[huang yong ping]","[1954, 2099]",0,"wiki_huang-yongyu","googleart_m0dv9_5",,,
110,100,"[j. E. H. Macdonald, james edward hervey macdonald, macdonald, j. E. H., macdonald, james edward hervey]","[1873, 1932]","[j. e. h. macdonald, macdonald, j. e. h., macdonald, james edward hervey]","[1873, 1932]",1,"wiki_j-e-h-macdonald","googleart_m06008p",,,
111,76,"[jacek kowalski, jacek yerka]","[1952, 2099]","[jacek wielebski]","[2014.0, 2014.0]",0,"wiki_jacek-yerka","googleart_t219hrtrntl",,,
112,76,"[jacob epstein, sir jacob epstein kbe]","[1880, 1959]","[jacob steinhardt]","[1887, 1968]",0,"wiki_jacob-epstein","googleart_m03xrnf",,,
113,100,"[beest, jacoba van, heemskerck van beest, j. van (jkvr.), heemskerck van beest, jacoba, heemskerck van beest, jacoba berendina, heemskerck van beest, jacoba berendina van, heemskerck van beest, jacoba berendina van (jkvr.), heemskerck van beest, jacoba van, heemskerck van beest, jakoba, heemskerck, jacoba van, jacoba van heemskerck]","[1876, 1923]","[beest, jacoba van, heemskerck van beest, j. van (jkvr.), heemskerck van beest, jacoba, heemskerck van beest, jacoba berendina, heemskerck van beest, jacoba berendina van, heemskerck van beest, jacoba berendina van (jkvr.), heemskerck van beest, jacoba van, heemskerck van beest, jakoba, heemskerck, jacoba van, jacoba van heemskerck]","[1876, 1923]",1,"wiki_jacoba-van-heemskerck","googleart_m0t5fqjx",,,
114,76,"[archer, james a., james archer]","[1821, 1903.0]","[james henry beard]","[1812, 1893]",0,"wiki_james-archer","googleart_m09gnd17",,,
115,78,"[joan snyder]","[1940, 2099]","[bryan snyder]","[2011.0, 2014.0]",0,"wiki_joan-snyder","googleart_t219d95gzy2",,,
116,100,"[clausen dahl, johan christian, claussen-dahl, johan christian, dahl, j. c., dahl, j.c., dahl, johan christian clausen, dahl, johann christian clausen, johan christian claussen dahl, johan christian dahl]","[1788, 1857]","[clausen dahl, johan christian, claussen-dahl, johan christian, dahl, j. c., dahl, j.c., dahl, johan christian clausen, dahl, johann christian clausen, johan christian dahl]","[1788, 1857]",1,"wiki_johan-christian-dahl","googleart_m06p68x",,,
117,84,"[johann georg pinzel, іван георгій пінзель]","[1707, 1761]","[johann georg platzer, platzer, f. j., platzer, joh. viktor, platzer, johann georg, plazer, johann georg]","[1704, 1761]",0,"wiki_johann-georg-pinzel","googleart_m080c2qr",,,
118,100,"[audubon, j. j., audubon, jean-jacques-fougère, audubon, john j., audubon, john james, audubon, john james laforest, jean-jacques audubon, john james audubon]","[1785, 1851]","[audubon, j. j., audubon, jean-jacques-fougère, audubon, john j., audubon, john james, audubon, john james laforest, john james audubon]","[1785, 1851]",1,"wiki_john-james-audubon","googleart_m01t7pnv",,,
119,100,"[godward, j. w., godward, john william, john william godward]","[1861, 1922]","[godward, j. w., godward, john william, john william godward]","[1861, 1922]",1,"wiki_john-william-godward","googleart_m063pnz",,,
