,score,names_wga,dates_wga,names_artuk,dates_artuk,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma,artist_id_artuk,Unnamed: 9,Unnamed: 10,Unnamed: 11
1138,85.0,"[walker, george]","[1781, 1856]","[balmer, george]","[1805, 1846]",0,"wga_walker, george, (1781-1856)","artuk_balmer, george, (1805-1846)","(8729, 251)",13.0,"[24, 10]"
1139,89.0,"[williams, edward charles]","[1807, 1881]","[sheldon-williams, alfred, williams, a. a., williams, a. sheldon, williams, alfred sheldon]","[1870, 1880]",0,"wga_williams, edward charles, (1807-1881)","artuk_williams, a. a.","(6402, 8758)",3.0,"[63, 1]"
1140,89.0,"[williams, george augustus]","[1814, 1901]","[sheldon-williams, alfred, williams, a. a., williams, a. sheldon, williams, alfred sheldon]","[1870, 1880]",0,"wga_williams, george augustus, (1814-1901)","artuk_williams, a. a.","(6402, 8759)",5.0,"[56, 21]"
1141,89.0,"[williams, walter]","[1834, 1906]","[sheldon-williams, alfred, williams, a. a., williams, a. sheldon, williams, alfred sheldon]","[1870, 1880]",0,"wga_williams, walter, (1834-1906)","artuk_williams, a. a.","(6402, 8761)",2.0,"[36, 26]"
1142,100.0,"[williams, walter]","[1834, 1906]","[williams, walter heath]","[1835, 1906]",0,"wga_williams, walter, (1834-1906)","artuk_williams, walter heath, (1835-1906)","(8761, 6434)",10.0,"[1, 0]"
1143,99.0,"[williams, walter]","[1834, 1906]","[williams, alfred walter]","[1823, 1905]",0,"wga_williams, walter, (1834-1906)","artuk_williams, alfred walter, (1823-1905)","(6403, 8761)",13.0,"[11, 1]"
1144,100.0,"[witmont, heerman]","[1605, 1684]","[witmont, heerman]","[1605, 1683]",1,"wga_witmont, heerman, (1605-1684)","artuk_witmont, heerman, (1605-1683)","(8767, 6506)",11.0,"[0, 1]"
1145,100.0,"[wyck, jan, jan wyck]","[1644, 1702]","[wyck, jan]","[1645, 1700]",1,"wga_wyck, jan, (1644-1700)","artuk_wyck, jan, (1645-1700)","(3403, 6589)",53.0,"[1, 2]"
1146,89.0,[agnes lawrence pelton],"[1881, 1961]","[lawrence, edna w., lawrence, w.]","[1898, 1908]",0,wiki_agnes-lawrence-pelton,"artuk_lawrence, w.","(28, 3485)",22.0,"[17, 53]"
1147,86.0,"[agnes martin, agnes bernice martin]","[1912, 2004]","[ahearn, martin r., martin, r.]","[1918, 1928]",0,wiki_agnes-martin,"artuk_martin, r.","(3896, 29)",107.0,"[6, 76]"
1148,100.0,[albert irvin],"[1922, 2099]","[irvin, albert]","[1922, 2015]",1,wiki_albert-irvin,"artuk_irvin, albert, (1922-2015)","(50, 3100)",34.0,"[0, 84]"
1149,90.0,"[alexander bazhbeuk-melikyan, ալեքսանդր բաժբեուկ-մելիքյան]","[1891, 1966]","[alexander, h., alexander, john h., alexander, jon h.]","[1905, 1915]",0,wiki_alexander-bazhbeuk-melikyan,"artuk_alexander, h.","(78, 51)",7.0,"[14, 51]"
1150,90.0,"[alexander ""sandy"" calder, alexander calder]","[1898, 1976]","[alexander, h., alexander, john h., alexander, jon h.]","[1905, 1915]",0,wiki_alexander-calder,"artuk_alexander, h.","(80, 51)",47.0,"[7, 61]"
