,"score","names_wiki+googleart+wga","dates_wiki+googleart+wga","names_meisterwerke","dates_meisterwerke","is_same","artist_id_wiki+googleart+wga","artist_id_meisterwerke","idx","total_works_count","year_diff"
1280,98,"[veerendael, nicolaes van]","[1640, 1691]","[veerendael, nicolas van]","[1662.0, 1665.0]",1,"wga_veerendael, nicolaes van, (1640-1691)","meisterwerke_veerendael, nicolas van",,,
1281,100,"[velde, jan jansz. van de, jan jansz van de velde]","[1619, 1662]","[velde, jan jansz. van de]","[1653.0, 1653.0]",1,"wga_velde, jan jansz. van de, (1619-1662)","meisterwerke_velde, jan jansz. van de",,,
1282,86,"[jan van de velde, velde, jan van de, ii]","[1593, 1641]","[velde, esaias van de]","[1618.0, 1618.0]",0,"wga_velde, jan van de, ii, (1593-1641)","meisterwerke_velde, esaias van de",,,
1283,92,"[verbruggen, gaspar peeter the elder]","[1635, 1681]","[verbruggen d. a., gaspar peeter]","[1661.0, 1661.0]",1,"wga_verbruggen, gaspar peeter the elder, (1635-1681)","meisterwerke_verbruggen d. a., gaspar peeter",,,
1284,100,"[verelst, simon pietersz.]","[1644, 1721]","[verelst, simon]","[1675.0, 1675.0]",1,"wga_verelst, simon pietersz., (1644-1721)","meisterwerke_verelst, simon",,,
1285,100,"[vogel von vogelstein, carl christian]","[1788, 1868]","[vogel von vogelstein, carl christian]","[1834.0, 1834.0]",1,"wga_vogel von vogelstein, carl christian, (1788-1868)","meisterwerke_vogel von vogelstein, carl christian",,,
1286,86,"[wasmann, friedrich]","[1805, 1886]","[besemann, friedrich]","[1830.0, 1830.0]",0,"wga_wasmann, friedrich, (1805-1886)","meisterwerke_besemann, friedrich",,,
1287,100,"[wasmann, friedrich]","[1805, 1886]","[wasmann, rudolf friedrich]","[1831.0, 1843.0]",1,"wga_wasmann, friedrich, (1805-1886)","meisterwerke_wasmann, rudolf friedrich",,,
1288,100,"[werner, joseph the younger]","[1637, 1710]","[werner, joseph]","[1663.0, 1663.0]",1,"wga_werner, joseph the younger, (1637-1710)","meisterwerke_werner, joseph",,,
1289,100,"[wertinger, hans]","[1465, 1533]","[wertinger, hans (der schwabe)]","[1525.0, 1525.0]",1,"wga_wertinger, hans, (1465-1533)","meisterwerke_wertinger, hans (der schwabe)",,,
1290,91,"[wet, jacob willemsz. de, the elder]","[1610, 1675]","[wet d. a., jacob willemsz. de]","[1635.0, 1650.0]",1,"wga_wet, jacob willemsz. de, the elder, (1610-1675)","meisterwerke_wet d. a., jacob willemsz. de",,,
1291,80,"[wille, johann georg]","[1715, 1808]","[rosenberg, johann georg]","[1786.0, 1786.0]",0,"wga_wille, johann georg, (1715-1808)","meisterwerke_rosenberg, johann georg",,,
1292,80,"[zeiller, jakob johann]","[1708, 1783]","[merkh, johann jakob]","[1741.0, 1743.0]",0,"wga_zeiller, jakob johann, (1708-1783)","meisterwerke_merkh, johann jakob",,,
1293,100,"[zimmermann, johann baptist]","[1680, 1758]","[zimmermann, johann baptist]","[1756.0, 1756.0]",1,"wga_zimmermann, johann baptist, (1680-1758)","meisterwerke_zimmermann, johann baptist",,,
1294,100,"[zoppo, marco]","[1433, 1478]","[zoppo, marco]","[1470.0, 1470.0]",1,"wga_zoppo, marco, (1433-1478)","meisterwerke_zoppo, marco",,,
1295,83,"[alexander ivanov, alexander andreyevich ivanov, александр иванов]","[1806, 1858]","[iwanow, alexander andrejewitsch]","[1827.0, 1857.0]",1,"wiki_alexander-ivanov","meisterwerke_iwanow, alexander andrejewitsch",,,
1296,83,"[oudry, jean-baptiste, jean-baptiste oudry]","[1686, 1755]","[mour, jean-baptiste van]","[1699.0, 1750.0]",0,"wiki_jean-baptiste-oudry","meisterwerke_mour, jean-baptiste van",,,
1297,81,"[карл брюллов, bryullov, karl pavlovich, karl bryullov]","[1799, 1852]","[brullow, karl pawlowitsch]","[1821.0, 1848.0]",1,"wiki_karl-bryullov","meisterwerke_brullow, karl pawlowitsch",,,
1298,97,"[jarošenko, nikolaj aleksandrovič, yaroshenko, nikolai aleksandrovich, jaroschenko, nikolai alexandrowitsch, jarošenko, mykola oleksandrovyč, микола ярошенко, mykola yaroshenko]","[1846, 1898]","[jaroschenko, nikolaj alexandrowitsch]","[1878.0, 1894.0]",1,"wiki_mykola-yaroshenko","meisterwerke_jaroschenko, nikolaj alexandrowitsch",,,
1299,82,"[ge, nikolaj nikolaevič, gay, nicolaï nikolaïevitch, gay, nikolai nikolajewitsch, nikolai ge, he, mykola mykolajovyč, ge, nikolay nikolayevich, gué, nikolai nikolajewitsch, николай ге, ge, nikolai nikolaevich, ge, nikolaj n., he]","[1831, 1894]","[schilder, nikolai gustawowitsch]","[1856.0, 1856.0]",0,"wiki_nikolai-ge","meisterwerke_schilder, nikolai gustawowitsch",,,
1300,92,"[ge, nikolaj nikolaevič, gay, nicolaï nikolaïevitch, gay, nikolai nikolajewitsch, nikolai ge, he, mykola mykolajovyč, ge, nikolay nikolayevich, gué, nikolai nikolajewitsch, николай ге, ge, nikolai nikolaevich, ge, nikolaj n., he]","[1831, 1894]","[ge, nikolaj nikolajewitsch]","[1864.0, 1893.0]",1,"wiki_nikolai-ge","meisterwerke_ge, nikolaj nikolajewitsch",,,
1301,82,"[ge, nikolaj nikolaevič, gay, nicolaï nikolaïevitch, gay, nikolai nikolajewitsch, nikolai ge, he, mykola mykolajovyč, ge, nikolay nikolayevich, gué, nikolai nikolajewitsch, николай ге, ge, nikolai nikolaevich, ge, nikolaj n., he]","[1831, 1894]","[lomtew, nikolai]","[1841.0, 1841.0]",0,"wiki_nikolai-ge","meisterwerke_lomtew, nikolai",,,
1302,95,"[pavel fedotov, павел федотов, fedotoff, pawel andrejewitsch, fedotov, pavel andreevič, fedotov, pavel andreevich, fedotov, pavel a.]","[1815, 1852]","[fedotow, pawel andrejewitsch]","[1847.0, 1851.0]",1,"wiki_pavel-fedotov","meisterwerke_fedotow, pawel andrejewitsch",,,
1303,100,"[thomas smith, captain thomas smith]","[1600, 1700]","[smith, thomas]","[1690.0, 1690.0]",1,"wiki_thomas-smith","meisterwerke_smith, thomas",,,
1304,80,"[pieter van lint, lint, pieter van]","[1609, 1690]","[plass, pieter van der]","[1610.0, 1610.0]","False","googleart_m03c8j7g","meisterwerke_plass, pieter van der",,,
1305,80,"[lewis, frederick christian, lewis, f. g., frederick christian lewis, lewis, frederick christian (der ältere)]","[1779, 1856]","[gille, christian friedrich]","[1850.0, 1850.0]","False","googleart_m03qllms","meisterwerke_gille, christian friedrich",,,
1306,80,"[johann wilhelm schirmer]","[1807, 1863]","[brucke, johann wilhelm]","[1826.0, 1855.0]","False","googleart_m04nsnq","meisterwerke_brucke, johann wilhelm",,,
1307,80,"[laer, pieter van, pieter van laer]","[1592, 1642]","[plass, pieter van der]","[1610.0, 1610.0]","False","googleart_m07yxc9","meisterwerke_plass, pieter van der",,,
1308,86,"[bezzi, giovanni francesco]","[1530, 1571]","[caroto, giovanni francesco]","[1550.0, 1550.0]","False","wga_bezzi, giovanni francesco, (1530-1571)","meisterwerke_caroto, giovanni francesco",,,
1309,86,"[caroto, giovanni francesco]","[1480, 1555]","[penni, giovanni francesco]","[1550.0, 1550.0]","False","wga_caroto, giovanni francesco, (1480-1555)","meisterwerke_penni, giovanni francesco",,,
1310,88,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]","[monogrammist a. b.]","[1550.0, 1550.0]","False","wga_crabbe, frans, (1480-1553)","meisterwerke_monogrammist a. b.",,,
1311,82,"[fasolo, giovanni antonio]","[1530, 1572]","[varese, giovanni antonio da]","[1550.0, 1550.0]","False","wga_fasolo, giovanni antonio, (1530-1572)","meisterwerke_varese, giovanni antonio da",,,
1312,83,"[mol, pieter van]","[1599, 1650]","[avont, pieter van]","[1650.0, 1650.0]","False","wga_mol, pieter van, (1599-1650)","meisterwerke_avont, pieter van",,,
1313,81,"[preyer, johann wilhelm]","[1803, 1889]","[cordes, johann wilhelm]","[1850.0, 1850.0]","False","wga_preyer, johann wilhelm, (1803-1889)","meisterwerke_cordes, johann wilhelm",,,
1314,86,"[tischbein, johann heinrich the younger]","[1742, 1808]","[tischbein, johann heinrich wilhelm]","[1778.0, 1798.0]",0,"wga_tischbein, johann heinrich the younger, (1742-1808)","meisterwerke_tischbein, johann heinrich wilhelm",,,
1315,84,"[vollerdt, johann christian]","[1708, 1769]","[brand, johann christian]","[1744.0, 1760.0]","False","wga_vollerdt, johann christian, (1708-1769)","meisterwerke_brand, johann christian",,,
1316,82,"[vollerdt, johann christian]","[1708, 1769]","[fiedler, johann christian]","[1750.0, 1750.0]","False","wga_vollerdt, johann christian, (1708-1769)","meisterwerke_fiedler, johann christian",,,
1317,83,,,,,0,"googleart_m03d8f_","meisterwerke_vouet, simon (nachfolger)",,,
1318,84,,,,,0,"googleart_m03f_7w","meisterwerke_heem, jan davidsz de (nachfolge)",,,
1319,85,,,,,0,"googleart_m0bskv2","meisterwerke_rembrandt (kopist)",,,
1320,86,,,,,0,"wiki_canaletto","meisterwerke_canaletto (ii) (werkstatt)",,,
1321,87,,,,,0,"wga_massys, quentin, (1465-1530)","meisterwerke_massys, quentin (umkreis)",,,
1322,88,,,,,0,"wga_herlin, friedrich, (1430-1500)","meisterwerke_herlin, friedrich (umkreis)",,,
1323,89,,,,,0,"wga_hals, frans ii, (1618-1669)","meisterwerke_hals, frans",,,
