,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wiki+googleart+wga+meisterwerke+moma","artist_id_artuk","Unnamed: 9","Unnamed: 10","Unnamed: 11"
1714,100,"[signorelli, francesco]","[1495, 1553]","[signorelli, francesco]","[1490, 1553]",1,"wga_signorelli, francesco, (1495-1553)","artuk_signorelli, francesco, (1490-1553)","(8144, 18479)",3,
1715,100,"[sittow, michel, michael sittow]","[1468, 1525]","[sittow, michel]","[1469, 1525]",1,"wga_sittow, michel, (1468-1525)","artuk_sittow, michel, (1469-1525)","(2983, 18582)",11,
1716,100,"[stalbemt, adriaen van]","[1580, 1622]","[van stalbemt, adriaen]","[1580, 1662]",1,"wga_stalbemt, adriaen van, (1580-1622)","artuk_van stalbemt, adriaen, (1580-1662)","(8183, 20909)",3,
1717,100,"[starnina, gherardo di jacopo, gherardo starnina]","[1354, 1413]","[starnina]","[1364, 1413]",1,"wga_starnina, gherardo di jacopo, (1354-1409)","artuk_starnina, (1364-1413)","(2698, 19129)",17,
1718,100,"[stoop, dirck willemsz.]","[1618, 1686]","[stoop, dirck]","[1610, 1686]",1,"wga_stoop, dirck willemsz., (1618-1686)","artuk_stoop, dirck, (1610-1686)","(8203, 19341)",8,
1719,100,"[storck, jacobus]","[1641, 1688]","[storck, jacobus]","[1641, 1692]",1,"wga_storck, jacobus, (1641-1688)","artuk_storck, jacobus, (1641-1692)","(8205, 19346)",7,
1720,100,"[thomas, jan]","[1617, 1678]","[thomas, jan]","[1617, 1673]",1,"wga_thomas, jan, (1617-1678)","artuk_thomas, jan, (1617-1673)","(8260, 19918)",3,
1721,100,"[tilborgh, gillis van]","[1625, 1678]","[van tilborgh, gillis]","[1635, 1678]",1,"wga_tilborgh, gillis van, (1625-1678)","artuk_van tilborgh, gillis, (1635-1678)","(8264, 20924)",15,
1722,100,"[tito, tiberio di]","[1578, 1637]","[tito, tiberio di]","[1573, 1627]",1,"wga_tito, tiberio di, (1578-1637)","artuk_tito, tiberio di, (1573-1627)","(8273, 20119)",5,
1723,100,"[jacob toorenvliet, toorenvliet, jacob]","[1640, 1719]","[toorenvliet, jacob]","[1635, 1719]",1,"wga_toorenvliet, jacob, (1640-1719)","artuk_toorenvliet, jacob, (1635-1719)","(3485, 20188)",38,
1724,100,"[torbido, francesco]","[1482, 1561]","[torbido, francesco]","[1482, 1562]",1,"wga_torbido, francesco, (1482-1561)","artuk_torbido, francesco, (1482-1562)","(8282, 20199)",2,
1725,100,"[troyen, rombout van]","[1605, 1656]","[van troyen, rombout]","[1605, 1650]",1,"wga_troyen, rombout van, (1605-1656)","artuk_van troyen, rombout, (1605-1650)","(8302, 20926)",5,
1726,100,"[unterberger, franz-richard, franz richard unterberger]","[1837, 1902]","[unterberger, franz richard]","[1838, 1902]",1,"wga_unterberger, franz-richard, (1838-1902)","artuk_unterberger, franz richard, (1838-1902)","(675, 20503)",42,
1727,100,"[utrecht, adriaen van, adriaen van utrecht]","[1599, 1653]","[van utrecht, adriaen]","[1599, 1652]",1,"wga_utrecht, adriaen van, (1599-1652)","artuk_van utrecht, adriaen, (1599-1652)","(4303, 20928)",17,
1728,100,"[lucas van valckenborch, valckenborch, lucas van]","[1530, 1597]","[van valckenborch, lucas]","[1535, 1597]",1,"wga_valckenborch, lucas van, (1530-1597)","artuk_van valckenborch, lucas, (1535-1597)","(2760, 20932)",17,
1729,100,"[vecchi, giovanni de']","[1536, 1614]","[de' vecchi, giovanni]","[1536, 1615]",1,"wga_vecchi, giovanni de', (1536-1614)","artuk_de' vecchi, giovanni, (1536-1615)","(8621, 5468)",9,
1730,100,"[lorenzo di pietro, vecchietta]","[1412, 1480]","[vecchietta, lorenzo]","[1410, 1480]",1,"wga_vecchietta, (1412-1480)","artuk_vecchietta, lorenzo, (1410-1480)","(2505, 21002)",15,
1731,100,"[vecellio, francesco]","[1475, 1560]","[vecellio, francesco]","[1475, 1559]",1,"wga_vecellio, francesco, (1475-1560)","artuk_vecellio, francesco, (1475-1559)","(8623, 21003)",6,
1732,100,"[vendri, antonio da]","[1476, 1555]","[da vendri, antonio]","[1476, 1577]",1,"wga_vendri, antonio da, (1476-1555)","artuk_da vendri, antonio, (1476-1577)","(8630, 4891)",3,
1733,100,"[vermiglio, giuseppe]","[1585, 1635]","[vermiglio, giuseppe]","[1585, 1668]",1,"wga_vermiglio, giuseppe, (1585-1635)","artuk_vermiglio, giuseppe, (1585-1668)","(8655, 21063)",5,
1734,100,"[verwer, abraham de]","[1585, 1650]","[de verwer, abraham]","[1580, 1650]",1,"wga_verwer, abraham de, (1585-1650)","artuk_de verwer, abraham, (1580-1650)","(8662, 5435)",6,
1735,100,"[visscher, cornelis]","[1629, 1658]","[visscher ii, cornelis]","[1619, 1662]",1,"wga_visscher, cornelis, (1629-1658)","artuk_visscher ii, cornelis, (1619-1662)","(8690, 21163)",8,
1736,100,"[vivarini, alvise]","[1445, 1503]","[vivarini, alvise]","[1442, 1505]",1,"wga_vivarini, alvise, (1445-1503)","artuk_vivarini, alvise, (1442-1505)","(8697, 21171)",15,
1737,100,"[vliet, willem van der]","[1584, 1642]","[van der vliet, willem]","[1583, 1642]",1,"wga_vliet, willem van der, (1584-1642)","artuk_van der vliet, willem, (1583-1642)","(8702, 20717)",6,
1738,100,"[voille, jean louis]","[1744, 1804]","[voille, jean louis]","[1744, 1803]",1,"wga_voille, jean louis, (1744-1804)","artuk_voille, jean louis, (1744-1803)","(8708, 21187)",3,
1739,100,"[vredeman de vries, hans]","[1527, 1606]","[vredeman de vries, hans]","[1527, 1607]",1,"wga_vredeman de vries, hans, (1527-1606)","artuk_vredeman de vries, hans, (1527-1607)","(8718, 21268)",6,
1740,100,"[vrel, jacobus]","[1550.0, 1700.0]","[vrel, jacobus]","[1630, 1680]",1,"wga_vrel, jacobus, (1654-1654)","artuk_vrel, jacobus, (1630-1680)","(8720, 21269)",4,
