,score,names_wiki+googleart+wga+meisterwerke+moma+artuk,dates_wiki+googleart+wga+meisterwerke+moma+artuk,names_rijks,dates_rijks,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma+artuk,artist_id_rijks,idx,total_works_count,year_diff
426,100,"[de crayer, gaspar, crayer, gaspard de, gaspar de crayer]","[1582, 1669]","[crayer, gaspar de, gaspar de crayer]","[1511, 1669]",1,"wga_crayer, gaspard de, (1584-1669)",rijks_rjgd-gaspar-de-crayer,"(3671, 1543)",24,"[71, 0]"
467,100,"[giovanni battista crespi, crespi, giovanni battista]","[1573, 1632]","[crespi, giovanni battista, giovanni battista crespi]","[1565, 1632]",1,"wga_crespi, giovanni battista, (1575-1632)",rijks_rjgd-giovanni-battista-crespi,"(3769, 1743)",18,"[8, 0]"
149,100,"[cruikshank, george, george cruikshank]","[1792, 1878]","[cruikshank, george, george cruikshank]","[1708, 1878]",1,"wga_cruikshank, george, (1792-1878)",rijks_rjgd-george-cruikshank,"(2493, 1580)",62,"[84, 0]"
482,100,"[jacob gerritsz. cuyp, cuyp, jacob gerritsz.]","[1594, 1652]","[cuyp, jacob gerritsz, jacob gerritsz cuyp]","[1512, 1652]",1,"wga_cuyp, jacob gerritsz., (1594-1651)",rijks_rjgd-jacob-gerritsz-cuyp,"(3865, 2383)",14,"[82, 0]"
72,100,"[clausen dahl, johan christian, johan christian claussen dahl, claussen-dahl, johan christian, dahl, j.c., dahl, j. c., johan christian dahl, dahl, johan christian clausen, dahl, johann christian clausen]","[1788, 1857]","[dahl, johan christian clausen, johan christian clausen dahl]","[1702, 1857]",1,"wga_dahl, johan christian clausen, (1788-1857)",rijks_rjgd-johan-christian-clausen-dahl,"(1156, 3044)",70,"[86, 0]"
1287,92,"[dalen, cornelis van, the elder]","[1602, 1665]","[cornelis van dalen (ii), dalen, cornelis van (ii)]","[1612, 1664]",0,"wga_dalen, cornelis van, the elder, (1602-1665)",rijks_rjgd-cornelis-van-dalen-(ii),"(948, 6194)",118,"[10, 1]"
715,100,"[dalens, dirck i]","[1600, 1676]","[dalens, dirck, dirck dalens]","[1610.0, 1610.0]",1,"wga_dalens, dirck i, (1600-1676)",rijks_rjgd-dirck-dalens,"(6195, 1112)",4,"[10.0, 66.0]"
716,100,"[dalens, dirck ii]","[1659, 1688]","[dalens, dirck (ii), dirck dalens (ii)]","[1657, 1687]",1,"wga_dalens, dirck ii, (1659-1688)",rijks_rjgd-dirck-dalens-(ii),"(6196, 1114)",3,"[2, 1]"
1267,92,"[danckerts, cornelis the elder]","[1603, 1656]","[cornelis danckerts (ii), danckerts, cornelis (ii)]","[1603, 1717]",0,"wga_danckerts, cornelis the elder, (1603-1656)",rijks_rjgd-cornelis-danckerts-(ii),"(876, 6200)",21,"[0, 61]"
717,95,"[danckerts, cornelis the elder]","[1603, 1656]","[cornelis danckerts (i), danckerts, cornelis (i)]","[1604, 1656]",1,"wga_danckerts, cornelis the elder, (1603-1656)",rijks_rjgd-cornelis-danckerts-(i),"(6200, 875)",91,"[1, 0]"
718,100,"[dandré, michel françois, bardon, michel françois, dandré-bardon, michel-françois, bardon, michel françois d'andré, dandré-bardon, michel françois, andré bardon, michel-françois d']","[1700, 1783]",[michel],"[1750.0, 1750.0]",0,"wga_dandré-bardon, michel-françois, (1700-1783)",rijks_rjgd-michel,"(6205, 3854)",5,"[50.0, 33.0]"
719,100,"[davent, léon]","[1540, 1556]","[davent, léon, léon davent]","[1547.0, 1547.0]",1,"wga_davent, léon, (1540-1556)",rijks_rjgd-léon-davent,"(6212, 3660)",9,"[7.0, 9.0]"
720,100,"[debucourt, philibert-louis]","[1755, 1832]","[debucourt, philibert-louis, philibert-louis debucourt]","[1702, 1832]",1,"wga_debucourt, philibert-louis, (1755-1832)",rijks_rjgd-philibert-louis-debucourt,"(6216, 4290)",9,"[53, 0]"
721,100,"[decker, coenraet]","[1651, 1685]","[coenraet decker, decker, coenraet]","[1650, 1685]",1,"wga_decker, coenraet, (1651-1685)",rijks_rjgd-coenraet-decker,"(6217, 826)",106,"[1, 0]"
723,100,"[delff, cornelis jacobsz]","[1570, 1643]","[cornelis jacobsz. delff, delff, cornelis jacobsz.]","[1571, 1643]",1,"wga_delff, cornelis jacobsz, (1570-1643)",rijks_rjgd-cornelis-jacobsz.-delff,"(6224, 910)",4,"[1, 0]"
724,100,"[delff, jacob willemsz i]","[1550, 1601]","[delff, jacob willemsz. (i), jacob willemsz. delff (i)]","[1550, 1605]",1,"wga_delff, jacob willemsz i, (1550-1601)",rijks_rjgd-jacob-willemsz.-delff-(i),"(6225, 2468)",5,"[0, 4]"
725,100,"[delff, jacob willemsz ii]","[1619, 1661]","[delff, jacob willemsz. (ii), jacob willemsz. delff (ii)]","[1605, 1661]",1,"wga_delff, jacob willemsz ii, (1619-1661)",rijks_rjgd-jacob-willemsz.-delff-(ii),"(6226, 2469)",4,"[14, 0]"
726,100,"[demarne, jean-louis]","[1752, 1829]","[demarne, jean louis, jean louis demarne]","[1703, 1829]",1,"wga_demarne, jean-louis, (1752-1829)",rijks_rjgd-jean-louis-demarne,"(6229, 2969)",5,"[49, 0]"
727,100,"[denis, simon-joseph-alexandre-clément]","[1755, 1812]","[alexandre clément, clément, alexandre]","[1804.0, 1804.0]",0,"wga_denis, simon-joseph-alexandre-clément, (1755-1812)",rijks_rjgd-alexandre-clément,"(6231, 234)",3,"[49.0, 8.0]"
