,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wga","artist_id_artuk",
160,95,"[san leocadio, paolo de]","[1445, 1520]","[paolo da san leocadio]","[1472, 1520]",1,"san leocadio, paolo de, (1445-1520)","paolo da san leocadio, (1472-1520)",
15,95,"[borssom, anthonie van]","[1631, 1677]","[van borssum, anthonie]","[1630, 1677]",1,"borssom, anthonie van, (1631-1677)","van borssum, anthonie, (1630-1677)",
201,95,"[viola, giovan battista]","[1576, 1622]","[viola, giovanni battista]","[1576, 1622]",1,"viola, giovan battista, (1576-1622)","viola, giovanni battista, (1576-1622)",
168,95,"[simone dei crocefissi]","[1330, 1399]","[simone dei crocifissi]","[1330, 1399]",1,"simone dei crocefissi, (1330-1399)","simone dei crocifissi, (1330-1399)",
136,95,"[paret y alcazár, luis]","[1746, 1799]","[paret y alcázar, luis]","[1746, 1799]",1,"paret y alcazár, luis, (1746-1799)","paret y alcázar, luis, (1746-1799)",
57,95,"[gautier-dagoty, jacques-fabien]","[1716, 1785]","[gautier d'agoty, jacques-fabien]","[1710, 1781]",1,"gautier-dagoty, jacques-fabien, (1716-1785)","gautier d'agoty, jacques-fabien, (1710-1781)",
191,95,"[velde, willem van de, the younger]","[1633, 1707]","[van de velde i, willem]","[1611, 1693]",0,"velde, willem van de, the younger, (1633-1707)","van de velde i, willem, (1611-1693)",
72,95,"[helmont, mattheus van]","[1623, 1679]","[van helmont, matthieu]","[1623, 1679]",1,"helmont, mattheus van, (1623-1679)","van helmont, matthieu, (1623-1679)",
93,95,"[krøyer, peter severin]","[1851, 1909]","[krøyer, peder severin]","[1851, 1909]",1,"krøyer, peter severin, (1851-1909)","krøyer, peder severin, (1851-1909)",
75,95,"[herrera, francisco de, the younger]","[1622, 1685]","[de herrera i, francisco]","[1576, 1654]",0,"herrera, francisco de, the younger, (1622-1685)","de herrera i, francisco, (1576-1654)",
74,95,"[herrera, francisco de, the elder]","[1590, 1656]","[de herrera i, francisco]","[1576, 1654]",0,"herrera, francisco de, the elder, (1590-1656)","de herrera i, francisco, (1576-1654)",
50,95,"[francesco d'antonio di bartolommeo]","[1393, 1433]","[francesco di antonio di bartolomeo]","[1393, 1433]",1,"francesco d'antonio di bartolommeo, (1393-1433)","francesco di antonio di bartolomeo, (1393-1433)",
63,95,"[gillemans, jan pauwel the elder]","[1618, 1675]","[gillemans i, jan pauwel]","[1618, 1675]",1,"gillemans, jan pauwel the elder, (1618-1675)","gillemans i, jan pauwel, (1618-1675)",
64,95,"[gillemans, jan pauwel the younger]","[1651, 1704]","[gillemans i, jan pauwel]","[1618, 1675]",0,"gillemans, jan pauwel the younger, (1651-1704)","gillemans i, jan pauwel, (1618-1675)",
173,95,"[stalbemt, adriaan van]","[1580, 1662]","[van stalbemt, adriaen]","[1580, 1662]",1,"stalbemt, adriaan van, (1580-1662)","van stalbemt, adriaen, (1580-1662)",
46,95,"[ferguson, william gowe]","[1633, 1695]","[ferguson, william gouw]","[1632, 1695]",1,"ferguson, william gowe, (1633-1695)","ferguson, william gouw, (1632-1695)",
123,96,"[naldini, giovan battista]","[1537, 1591]","[naldini, giovanni battista]","[1537, 1591]",1,"naldini, giovan battista, (1537-1591)","naldini, giovanni battista, (1537-1591)",
128,96,"[nollekens, joseph francis]","[1702, 1748]","[nollekens, joseph frans]","[1706, 1748]",1,"nollekens, joseph francis, (1702-1748)","nollekens, joseph frans, (1706-1748)",
